iso,adm1,adm2
NLD,6,146
TUN,20,221
MWI,25,212
USA,24,1355
NLD,13,400
NIC,13,86
PAN,4,26
BDI,4,35
PHL,42,824
USA,33,1855
USA,36,2089
PHL,80,1613
PHL,20,350
PHL,72,1462
MWI,13,113
RUS,18,499
BDI,3,24
TZA,24,151
USA,50,3086
TUN,23,258
PHL,40,778
MWI,6,39
JPN,14,716
PHL,40,790
RUS,45,1222
RUS,57,1603
PHL,74,1500
TUN,1,6
TZA,16,108
RUS,75,2243
CAN,9,142
TZA,1,4
CAN,9,140
MWI,12,98
PAN,12,65
RUS,9,293
RUS,68,2039
TUN,4,36
TUN,20,220
BDI,2,15
RUS,77,2303
USA,50,3085
TZA,8,51
TZA,21,133
THA,64,767
PHL,40,765
MWI,19,162
MOZ,8,76
PHL,40,782
KGZ,5,26
UGA,32,80
PAN,12,66
IDN,33,421
RUS,49,1315
TUN,15,153
SLV,12,218
DEU,1,6
KGZ,9,43
CAN,9,141
MWI,8,58
TZA,11,70
MWI,10,81
USA,14,642
NGA,8,160
RUS,81,2403
TZA,7,39
TZA,1,5
TZA,12,75
UGA,31,79
NIC,10,66
PHL,58,1195
TZA,7,40
SLV,3,32
PAN,11,59
MWI,26,224
PHL,20,347
TZA,24,152
PHL,34,604
PHL,25,463
PHL,42,829
PHL,12,181
THA,40,530
CAN,9,143
RUS,58,1659
CHE,20,116
RUS,26,650
TZA,13,84
JPN,36,1480
PHL,40,766
USA,23,1272
USA,23,1274
UZB,5,54
TZA,6,35
MWI,24,209
MWI,12,99
RUS,62,1787
MWI,20,172
MWI,28,248
MWI,13,112
BDI,11,89
SLV,12,219
RUS,72,2160
RUS,78,2334
RUS,2,71
SLV,10,188
PER,22,166
VEN,7,83
USA,15,740
PHL,44,902
PRY,10,98
AUT,8,92
GTM,19,299
PHL,5,73
PHL,2,36
USA,23,1275
EST,13,182
GTM,9,145
USA,23,1273
TZA,21,132

